CellId	Radius	Length	Curvature	Torsion	Tortuosity	StartPointPosition_R	StartPointPosition_A	StartPointPosition_S	EndPointPosition_R	EndPointPosition_A	EndPointPosition_S
174	4.39438	59.4523	0.0546589	-1144.95	0.42534	19.5228	159.472	-166.761	10.1112	157.522	-126.173
175	7.90412	153.755	0.00351534	935.554	0.0487195	10.1112	157.522	-126.173	57.0367	115.475	-258.556
176	7.48395	13.5516	0.0587913	0	0.0322302	11.554	154.868	-161.32	6.13062	154.353	-173.265
177	3.19832	39.8074	0.0249931	3979.06	0.0410431	7.39816	159.958	-165.823	3.51479	165.438	-203.467
178	3.15188	60.3708	0.0186706	-687.441	0.0429424	3.51479	165.438	-203.467	-53.0714	177.379	-200.995
179	2.17155	16.8038	0.0995729	0.0791056	0.0286113	-54.6609	178.557	-203.193	-63.7128	187.388	-213.535
180	6.03683	212.899	0.0299815	-275.623	1.11668	-25.9758	164.561	-204.271	11.8805	158.737	-111.267
181	3.1995	23.7122	0.0414612	88.1987	0.0788617	1.74505	159.895	-183.392	13.1563	162.273	-202.025
182	1.88967	115.199	0.734365	-77.9708	0.342124	13.1563	162.273	-202.025	-66.338	190.058	-218.639
183	1.78417	4.56192	0.135341	0	0.0229159	-66.338	190.058	-218.639	-68.8277	192.649	-221.281
184	1.85993	2.16539	0.15097	0	0.0100817	-68.8277	192.649	-221.281	-70.2319	193.624	-222.574
185	3.64538	10.3588	0.109424	0	0.0550926	-36.175	166.027	-196.629	-44.059	170.826	-193.281
186	4.6807	62.1486	0.0143349	-1701.09	0.0331227	2.55993	160.203	-155.427	-38.8582	168.162	-198.321
187	3.72397	4.6468	0.0869492	0	0.0370904	-38.8582	168.162	-198.321	-42.2388	169.419	-195.663
188	4.50294	34.6323	0.062874	964.255	0.144233	10.3602	159.183	-147.686	13.6976	157.825	-177.738
189	1.34748	85.1346	0.0688508	58.9135	0.0770305	13.6976	157.825	-177.738	92.5501	154.049	-181.767
190	6.04878	63.1217	0.0613543	0.168376	0.118067	6.26838	178.461	-58.667	11.8805	158.737	-111.267
191	1.61313	75.3079	0.0685351	-76.8828	0.171334	15.6917	155.873	-153.879	75.5193	132.415	-151.895
192	11.0136	35.1053	0.362286	0	2.00344	-31.4091	142.313	-133.751	-29.7569	150.511	-125.585
193	4.8754	36.1381	0.0161693	-2350.67	0.00657856	15.4117	156.963	-189.358	42.9236	157.936	-212.404
194	4.86059	50.4358	0.0171904	674.186	0.0297367	-0.893621	157.701	-158.29	-28.8559	160.792	-198.384
195	4.46174	11.4277	0.0567837	0	0.0290361	-28.8559	160.792	-198.384	-37.3156	158.196	-205.093
196	3.68238	147.011	0.00757677	706.633	0.00578411	10.1112	157.522	-126.173	-73.0864	166.571	-246.008
197	3.09551	46.9692	0.0412211	-751.589	0.0688692	3.51479	165.438	-203.467	45.912	169.416	-214.313
198	2.85161	7.71388	0.0304423	0	0.00333901	45.912	169.416	-214.313	51.6314	174.426	-215.449
199	3.03627	3.24926	0.171375	0	0.0195155	44.8477	168.51	-214.063	47.2366	170.543	-214.624
200	7.43622	34.5149	0.480001	82079.7	1.30404	11.0368	158.483	-154.903	11.6306	156.353	-140.087
201	7.51313	34.8371	0.0244105	-0.365368	0.0340338	11.6306	156.353	-140.087	6.13062	154.353	-173.265
202	5.98966	15.4828	0.0228354	0	0.00847365	6.13062	154.353	-173.265	-4.07428	157.031	-184.418
203	5.98781	224.459	0.0274848	214.631	1.10978	24.1664	151.218	-216.677	11.8805	158.737	-111.267
204	5.2545	5.23668	0	0	0.00436761	-19.2418	159.965	-193.979	-23.9584	160.831	-196.026
205	1.61774	103.464	0.0287259	646.75	0.0452433	7.00268	159.182	-176.725	-74.0115	213.488	-193.625
206	2.22608	47.4977	0.0220563	-375.428	0.0422115	13.1563	162.273	-202.025	14.079	165.343	-156.564
207	1.66759	82.9978	0.2951	504.818	0.974935	14.079	165.343	-156.564	11.7928	158.277	-115.2
208	2.30814	36.5388	0.0610512	-1619.7	0.0418386	-38.8582	168.162	-198.321	-63.738	187.366	-213.884
209	5.2545	5.23668	0	0	0.00436761	-19.2418	159.965	-193.979	-23.9584	160.831	-196.026
210	5.61364	66.5835	0.323858	185.488	0.503331	13.6976	157.825	-177.738	54.543	174.755	-175.153
211	3.36695	8.93207	0.0463195	0	0.00948038	54.543	174.755	-175.153	57.16	183.158	-174.243
212	2.39912	5.58297	0.152126	0	0.027193	57.16	183.158	-174.243	58.1802	188.114	-172.258
213	3.60252	23.5468	0.0362495	284.618	0.0286268	25.1022	157.494	-194.903	41.0905	163.758	-210.041
214	4.16464	82.7349	0.132529	4906.62	0.487311	8.20413	157.052	-167.213	42.3716	157.501	-211.108
215	3.52142	5.18268	0.173435	0	0.0329921	42.3716	157.501	-211.108	44.518	153.795	-213.72
216	7.33723	17.6636	0.0226443	0	0.0111994	10.91	162.148	-102.171	11.7063	157.823	-119.076
217	3.64745	50.1449	0.00889761	-1336.26	0.00393605	4.58282	159.45	-180.427	42.9236	157.936	-212.404
218	1.86647	5.397	0.104216	0	0.0142934	64.5077	156.384	-239.702	66.7644	158.978	-243.762
219	6.72574	50.0864	1.3823	-3651.72	4.27091	14.079	165.343	-156.564	21.0318	162.039	-150.993
220	7.54053	67.3669	0.0703309	-50.085	0.378766	21.0318	162.039	-150.993	57.5253	185.375	-173.598
221	2.18258	114.581	0.0246056	313.999	0.00953576	-32.3743	163.019	-206.766	62.3631	225.518	-206.006
222	0.554138	0.645412	0.000197097	0	0	62.3631	225.518	-206.006	61.9002	225.838	-205.689
223	0.45799	0.0454609	0	0	0	61.9002	225.838	-205.689	61.8648	225.862	-205.673
224	6.04878	63.1217	0.0613543	0.168376	0.118067	6.26838	178.461	-58.667	11.8805	158.737	-111.267
225	7.856	7.90034	0	0	0.0045978	11.8805	158.737	-111.267	11.7063	157.823	-119.076
226	7.29669	54.296	0.0587287	27187.4	0.394626	-1.66395	158.206	-155.638	11.7063	157.823	-119.076
227	2.98187	42.0734	0.0628692	1498.33	0.1027	1.61298	157.93	-168.241	11.8773	175.207	-200.675
228	2.68295	72.9604	0.00855661	-551.891	0.0400599	11.8773	175.207	-200.675	-57.9596	181.812	-200.187
229	2.06991	20.4973	0.112435	0.145998	0.0315197	-57.9596	181.812	-200.187	-67.7313	199.063	-198.853
230	2.66211	48.475	0.034319	-4007.79	0.0632383	11.8773	175.207	-200.675	54.4966	182.946	-214.898
231	3.04501	5.26247	0.18893	0	0.0382159	57.5253	185.375	-173.598	58.5349	190.325	-173.178
232	3.00034	90.644	0.402379	367.965	0.556658	21.0318	162.039	-150.993	57.7921	199.01	-176.927
233	0.937396	5.73752	0.0885066	-727.45	0.0100733	57.7921	199.01	-176.927	54.5082	201.048	-181.09
234	5.30486	46.5382	0.0242171	802.351	0.0367027	9.20153	155.877	-173.425	38.5312	159.964	-207.163
235	2.26337	2.18634	0	0	0.00808238	56.123	190.228	-213.4	57.2016	192.106	-213.28
236	3.12628	27.7998	0.0471537	-2326.24	0.0651731	29.9232	161.974	-218.396	53.7646	162.889	-228.975
237	2.46579	10.5167	0.116277	-0.255437	0.0265605	53.7646	162.889	-228.975	55.5834	158.397	-238
238	2.03582	42.4445	0.0213057	787.616	0.0149643	55.5834	158.397	-238	55.1821	192.891	-214.361
239	2.60572	25.3556	0.0355681	-4358.36	0.0233431	55.5834	158.397	-238	57.5962	139.9	-254.363
240	4.60177	54.0263	2.59078	-376.399	0.306675	3.45091	160.279	-198.084	42.4613	158.258	-211.635
241	3.76403	5.07981	0.063489	0	0.0121712	42.4613	158.258	-211.635	44.5273	157.111	-216.063
242	3.16698	100.939	0.0973732	-568.617	0.423416	11.6069	156.945	-169.024	50.5374	154.043	-228.224
243	2.50384	8.08205	0.111543	-0.177844	0.0238332	50.5374	154.043	-228.224	52.7882	150.301	-234.801
